"Terms","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018"
"(Intercept)","3358.39608408277",1044.35902188982,261.732479224927,-4648.28534688698,-3719.43748824928,-6916.74162856881,-21225.3952821242,-18472.6966554253,-12711.856295188
"DDpre","-402.70979578087",-87.3837526869519,-56.8080807167289,31.2606327251514,38.2643907940108,55.9858858263264,334.404383346061,308.27445298528,291.421684980122
"DDegg","1101.16905325037",591.232043338101,491.610955991531,392.459792431488,398.963318541994,386.279612329088,-104.558688031808,-173.943617054894,-256.548852132473
"CSTegg","113057.935211422",27177.3003565351,25939.9160244771,15371.9208710112,16708.1543099569,16139.2353017554,-48806.6174607854,-44274.3652724549,-49395.1657047816
"LSTyolk","54101.3070652771",19378.1750296736,12040.6236872442,16496.4139389978,14516.6319596648,15498.3499794206,11622.7640015405,14634.3507271503,15759.1339516367
"DDlarv","-213.424817238802",-206.983588131123,-187.739887292119,-181.951840318694,-196.377453072265,-188.930107289434,-95.5739151848788,-60.7191253146943,-36.9352693652754
