"year","H01","H01hake","H01long","H02a","H02b","H03","H04","H05","H06dj","H06mn","H06sd","H07a","H07b","H08a","H08b","H09","H10","H11","H13","H14a","H14b","H16a","H16b","H17a","H17b","H18","H19a","H19b","H20a","H20b","H21a","H21b","H22","H23","H24b","H25a","H25b","H26","H27","H28","H29b","H30a","H30b","H32","SSH"
1980,915197156,915,197156,NA,NA,5.91535,129830,53.811,24.3033333333333,50.5764285714286,4.8967708288488,0.0994381,0.04615347,95.161,32.653,0.024911618,-0.1549788,-21.654,NA,-0.877063,-1.765431,0.4739677,0.34214,231.47,229.22,NA,-4.354713,-5.10649,-0.9807786,-0.901694,651.62,617.66,0.6610463,-0.110585,NA,373926,NA,1.55810645528176,13974500,115.855,NA,373926,NA,57950500,1.299916667
1981,16558253856,16558,253856,159.422,199.242,5.89913333333333,122346,79.785,26.1786666666667,51.494,6.14618614572737,0.0067589,-0.03585725,107.583,38.258,-0.02234586,-0.1141971,-21.958,NA,-1.388598,-3.252107,0.335166,0.3729006,256.99,247.89,NA,-4.946548,-7.30493,-0.770214,-0.532163,658.76,623.56,0.5800864,-0.0409833,NA,367970,NA,1.49735868714554,16064700,118.979,NA,367970,NA,68601700,1.3035
1982,274183459,274,183459,155.819,190.009,5.63793548387097,120419,73.581,21.6803225806452,48.0433333333333,6.95365512088642,-0.02216895,-0.04281864,100.111,36.383,-0.0368958,-0.1524422,-22.758,NA,-1.619123,-2.020656,0.00667830000000002,0.076978,200.485,201.578,NA,-3.168907,-3.547087,-1.108155,-1.027815,611.441,591.897,0.637748556,-0.0503629,NA,375072,NA,1.30429264284966,17257500,139.678,NA,375072,NA,84408500,1.316666667
1983,251131160,251,131160,180.315,222.75,6.3262,118835,94.735,26.9067741935484,43.312,4.89948864326852,0.02701978,0.02491732,106.393,41.228,0.00309035,-0.2824512,-21.212,NA,0.3749584,0.442128,0.86247,0.7650848,231.77,239.21,NA,-2.8933856,-3.708512,-0.4021542,-0.126094,665.44,653.38,0.3607764,0.00225809,NA,369086,NA,1.09298598214983,16951000,137.2,NA,369086,NA,78724000,1.371833333
1984,393125812,393,125812,184.296,220.178,5.58286666666667,114082,70.272,25.9816666666667,52.0423333333333,5.79442995520242,0.001235897,-0.01233086,107.502,37.582,0.00013242,0.0777549,-23.215,NA,-1.5017749,-3.0351677,0.8023428,0.7539473,224.051,224.082,NA,-4.34433,-7.294462,-0.358513,-0.2229648,628.7,608.81,0.213457,0.03631214,NA,344644,NA,1.06891162093584,16172200,120.421,NA,344644,NA,77555200,1.330833333
1985,12740137379,12740,137379,159.617,193.714,5.71416129032258,111180,75.292,26.9387096774194,55.1116666666667,8.11074641887319,0.025505612,-0.0076263,99.829,36.317,0.01489693,0.05480029,-22.173,NA,-1.991704,-4.21028,0.0882395,0.1506381,192.171,186.158,NA,-4.3111826,-6.196277,-1.6173405,-1.540038231,584.186,553.287,-0.3186096,0.256166,NA,319698,NA,1.04087037685163,14931900,125.825,NA,319698,NA,60622000,1.2675
1986,206104401,206,104401,168.065,206.542,5.8191,107978,78.051,26.041935483871,42.155,12.4801571469991,0.115716,0.0863399,99.347,37.441,0.03776536,0.0265166,-21.175,NA,-0.508779,-1.0114118,0.600077,0.545121,214.615,215.039,NA,-3.6848,-4.3306858,-1.250965,-1.2033171,598.35,565.183,-0.090745,0.170841,NA,312322,NA,0.910250693468577,15598500,134.933,NA,312322,NA,68813200,1.290833333
1987,210099695,210,99695,175.444,212.71,6.03116666666667,103066,84.66,26.5576666666667,42.4193333333333,6.76709275596368,0.0823779,0.0639895,103.371,39.94,0.02714886,-0.273751,-20.845,NA,-1.233134,-1.87362,0.3106163,0.319818,225.61,223.77,NA,-3.97793,-4.894783,-1.7298747,-1.344881,613.04,585.85,0.112184,0.0890459,NA,312329,NA,0.782366779249166,13841200,137.628,NA,312329,NA,52005400,1.2725
1988,5454136067,5454,136067,181.394,219.772,5.77251612903226,98264,79.24,25.7693548387097,45.1236666666667,7.20958054322132,0.118944,0.0689923,98.938,36.207,0.02629723,-0.1192206,-21.932,NA,-1.7054566,-2.5555291,0.4907082,0.3081546,205.327,203.743,NA,-4.190944,-4.945331,-0.914512,-0.8694274,584.065,553.756,0.1840116,0.051575991,NA,305448,NA,0.63705967099441,14022200,116.954,NA,305448,NA,49940700,1.309333333
1989,1912149910,1912,149910,153.812,188.641,5.78473333333333,94833,74.851,22.6687096774194,45.435,10.8470983725349,0.0767037,0.061656,88.63,32.784,0.02174123,-0.02765366,-22.125,NA,-0.3724328,0.068594,0.2109004,0.249576,192.344,193.389,NA,-2.6061506,-2.310566,-1.6839086,-1.431078,626.528,591.504,0.72980634,-0.1044299,NA,293005,NA,0.472034052266615,13887900,129.432,NA,293005,NA,56950600,1.294416667
1990,182121979,182,121979,173.284,213.831,6.03913333333333,92958,83.123,24.5226666666667,40.6663333333333,12.7689395458839,0.03253325,0.01870385,96.578,36.9,0.03052441,-0.0182114,-21.018,NA,-0.7314525,-0.48494,0.12668,0.146732,196.011,196.374,NA,-2.944025,-2.858913,-1.116745,-0.9938894,644.008,619.07,0.1905382,0.03552348,NA,282158,NA,0.177610641771356,16207900,114.978,NA,282158,NA,65368900,1.308166667
1991,4453085500,4453,85500,162.3,201.394,5.7844,91350,76.075,25.5146666666667,41.28,8.22810029610472,0.03309523,0.01701351,90.774,33.122,0.0235478575,-0.0228418,-22.165,NA,-1.154607,-1.0165599,0.0888153,0.08238374,189.235,187.372,NA,-3.5582516,-3.399025,-1.8508743,-1.704514,592.038,560.035,0.43392064,-0.0183148,NA,297966,NA,-0.224193618487683,16785700,127.841,NA,297966,NA,73821700,1.263583333
1992,563089848,563,89848,165.313,204.695,6.25364516129032,89999,95.228,24.5609677419355,36.7756666666667,4.21393802495491,0.12791506,0.0895561,100.711,38.81,0.069839,-0.268431,-21.286,NA,-0.193784,-0.4622178,0.33173716,0.0157979,252.28,255.05,NA,-3.701456,-3.4064362,-1.42856484,-1.132581,675.43,637.44,0.467347,-0.0664232,NA,294120,NA,-0.518342743723803,12592800,134.223,NA,294120,NA,50861400,1.33025
1993,192130450,192,130450,178.578,216.296,5.8126,88797,78.869,27.1143333333333,41.8383333333333,8.95309350634368,-0.001435,-0.0482916,93.332,34.179,-0.00886239,0.03484,-22.418,NA,0.8261068,0.9664372,1.3044272,1.2140348,214.827,219.77,NA,-2.735061,-0.4049901,-0.5518958,-0.4484655,637.61,610.22,0.683034,-0.0858593,NA,291550,NA,-0.685887229316256,13515000,132.101,NA,291550,NA,56757200,1.448
1994,3355136737,3355,136737,172.367,213.443,5.96626666666667,88626,82.122,26.6603333333333,47.717,8.02020429269428,0.104653,0.0654365,89.415,31.97,0.0562542,-0.0379156,-22.472,NA,-0.845966,-0.2627718,0.443743,0.5373139,229.14,226.208,NA,-4.127572,-2.657293,-0.750392,-0.3991961,656.89,629.08,0.918011,-0.17132623,NA,276337,NA,-0.7689290603553,11269800,126.575,NA,276337,NA,47968500,1.30075
