"year","H01","H01hake","H01long","H02a","H02b","H03","H04","H05","H06dj","H06mn","H06sd","H07a","H07b","H08a","H08b","H09","H10","H11","H13","H14a","H14b","H16a","H16b","H17a","H17b","H18","H19a","H19b","H20a","H20b","H21a","H21b","H22","H23","H24b","H25a","H25b","H26","H27","H28","H29b","H30a","H30b","H32","SSH"
1995,2748153347,2748,153347,165.58,203.087,6.13261290322581,88044,92.735,24.281935483871,39.2043333333333,3.77605950725076,0.167578,0.147882,94.088,34.481,0.113811,-0.194819,-21.71,NA,0.2706589,1.21183,0.454801,0.6255,221.62,225.336,NA,-2.9839846,-0.884864,-0.891007,-0.2346247,674.25,646.67,0.616095,-0.1140248,NA,260179,NA,-0.931671818385131,16274900,129.369,NA,260179,NA,63643300,1.305416667
1996,1309146754,1309,146754,166.73,199.882,5.71106666666667,86757,74.693,26.773,40.5309677419355,4.8947750066363,0.04113404,0.04391529,91.64,32.276,0.058024,0.0203632,-21.852,-1.236809357,0.147716,0.314365,0.8964278,0.7598541,229.5,233.72,-0.229056831857143,-3.8266574,-2.436539,-0.424785,-0.331607,636.28,598.98,0.733722,-0.1089473,NA,273609,NA,-1.2200175751524,17391000,132.03,NA,273609,NA,91453000,1.339416667
1997,1648133141,1648,133141,175.268,213.168,5.8769,84140,79.037,25.7403333333333,40.5396666666667,4.95505070319814,0.15733,0.160202,90.047,33.963,0.105746,-0.160674,-19.898,0.01772666425,-0.594013,-0.82904,0.75481,0.640283,230.301,229.454,-0.543115977625,-1.9527447,0.270703,0.6368573,0.4719206,709.61,692.24,0.91972484,-0.1606896,NA,264538,NA,-1.3478591116149,20172000,156.718,NA,264538,NA,97665000,1.399833333
1998,1127156349,1127,156349,203.758,244.197,6.02793548387097,81208,91.161,24.5864516129032,54.4143333333333,5.95155075898556,0.147838,0.09161068,109.405,38.279,0.0059599,-0.2032652,-21.466,-1.084849524,-0.479818,-0.64196,0.520879,0.451537,240.29,243.74,-0.62298201925,-4.6147101,-3.777819,-0.6881,-0.347174,647.34,618.06,0.80508,-0.120588,NA,249646,NA,-1.36539662580953,14832000,124.343,NA,249646,NA,68076000,1.331583333
1999,1848162173,1848,162173,167.756,201.913,5.57426666666667,79241,69.665,28.4435483870968,50.449,6.08503327846282,0.1233825,0.0612344,90.756,32.53,0.0370243,0.07881415,-21.864,-0.27299833575,-0.425769,0.208346,0.902205,0.803479,185.914,185.279,0.021619577875,-3.147469,-3.074029,-1.050787,-0.813514,585.572,567.306,0.96050969,-0.169599,NA,214926,NA,-1.31472490043688,19084600,125.866,NA,214926,NA,80296600,1.252083333
2000,11449160700,11449,160700,167.035,202.992,5.78976666666667,77759,76.266,25.9683333333333,48.7356666666667,6.78790896822575,0.150842,0.087859,87.235,32.981,0.0499895,-0.0576937,-21.232,-0.35300666925,-0.2438326,-0.2144246,0.586758,0.408245,218.644,224.063,0.168510272375,-3.6911706,-3.177168,-1.126918,-0.8107256,612.1,582.81,0.653628,-0.0737996,NA,218457,NA,-1.3973251483734,15110900,127.434,NA,218457,NA,66631900,1.309416667
2001,335173860,335,173860,169.579,206.491,5.85416129032258,74571,80.419,26.6967741935484,45.3186666666667,5.95549050258976,0.158174,0.117748,85.606,33.493,0.0740153,0.03318266,-19.855,-0.01883861375,-1.0263196,-1.371067,-0.230227,-0.311925,196.797,194.869,0.2439586055,-4.009272,-3.8412035,-0.88735909,-0.91867,591.442,556.029,1.208462,-0.223312,NA,228843,NA,-1.34693459323826,11499900,110.584,NA,228843,NA,41443400,1.2295
2002,900196411,900,196411,147.726,182.178,5.40926666666667,71066,63.854,31.4241935483871,54.0556666666667,6.63400367143731,0.0348373,0.022138793,79.975,30.454,0.021728752,-0.038396469,-20.973,0.26216277525,-1.3997289,-1.479887,-0.1305142,-0.00541100000000001,187.627,186.897,0.37101989025,-4.3465179,-3.574408,-1.3455032,-0.986508,594.385,551.044,1.506253,-0.250254,NA,242626,NA,-1.0813529883438,14868863.13,125.983,NA,242626,NA,61443670.37,1.234
2003,73110856,73,110856,163.91,199.536,5.69863333333333,70426,74.525,33.304,50.7733333333333,6.04102773474465,0.168275,0.138103,87.016,31.372,0.0899797,-0.2502327,-21.329,-0.120281669,-0.9293665,-1.436569,0.505287,0.4382808,229.01,225.9,-0.087708408125,-3.8740605,-4.149323,-0.897474,-0.4881142,656.9,613.89,1.0625389,-0.18899815,NA,251065,NA,-0.595156713194619,13935466.78,116.759,NA,251065,NA,55326186.65,1.3275
2004,1445256257,1445,256257,156.007,187.418,5.58954838709677,72244,72.662,30.4406451612903,50.9796666666667,3.86616131755173,0.120769,0.107435,86.825,30.729,0.092397,-0.1160424,-20.717,-0.0195650025,-0.910084,-1.754231,0.159017,-0.05595,234.27,232.172,-0.03135354725,-4.10695,-3.941338,-0.958363,-0.9568615,680.21,638.69,0.5859713,-0.0379488,0.805294117647059,247021,7.6078431372549,-0.833430532868195,14593153.93,120.708,0.805294117647059,247021,7.66884615384615,54621456.33,1.3005
2005,73093155,73,93155,161.155,194.278,5.88943333333333,74192,80.773,29.6712903225806,50.2866666666667,5.59761792522334,0.0859118,0.0669323,89.092,29.931,0.0581965,-0.1020394,-22.002,-0.81575666925,-0.2465488,-0.221865,0.374297,0.343113,232.4,231.36,-0.632369172125,-3.604051,-2.60433,-0.42986708,-0.517958,627.91,589.72,0.57572559,-0.10516825,0.13,247732,5.42085714285714,-0.804256202997814,14159151.54,126.481,0.13,247732,6.23938775510204,54478123.33,1.377666667
2006,2465117956,2465,117956,168.429,200.826,5.40306666666667,75200,66.091,36.2126666666667,54.8173333333333,8.63815351171499,0.120637,0.116402,88.106,28.229,0.07336,0.034728,-22.43,-0.357279586,-0.217199,-1.118768,0.316532,0.271804,211.412,211.077,-0.079764588875,-3.377017,-3.127693,-1.178273,-0.95274,603.147,560.26,0.827502,-0.1363215,0.113333333333333,237585,5.33652777777778,-0.502567932118245,12181579.58,126.3,0.113333333333333,237585,7.08298969072165,66786471.72,1.350083333
2007,1853101145,1853,101145,172.139,207.424,5.87033333333333,74485,79.112,33.6623333333333,52.922,9.98567125158983,0.149562,0.130578,89.243,28.865,0.103199,-0.1686152,-22.446,0.13059819175,-1.303933,-1.703883,0.508391,0.43601,201.365,194.155,0.060959647125,-4.050738,-2.773203,-0.4924763,-0.5824861,620.839,584.859,0.897749,-0.1187268,0,226492,5.80565789473684,-0.623296998538982,13406590.22,119.127,0,226492,6.64863636363636,60063156.22,1.2525
2008,48065197,48,65197,159.479,196.233,5.58361290322581,72609,72.626,33.6716129032258,56.4633333333333,4.48996147232785,0.1186155,0.0975458,80.376,26.268,0.089671,-0.00371702,-22.658,0.45474958075,-1.3468466,-2.235393,0.101152,0.131605,171.409,169.722,0.311764161375,-3.827553,-4.476768,-0.9373457,-0.684041,560.699,529.226,1.525568,-0.252596,0.265416666666667,187264,4.88333333333333,-0.460629922761271,13356130.87,113.302,0.265416666666667,187264,6.26613333333333,61880980.61,1.245833333
2009,5987072369,5987,72369,149.619,184.567,5.7666,69741,75.095,29.376,56.2323333333333,6.85232640250279,0.03801294,0.0497618,78.085,25.492,0.058307,-0.0157278,-23.014,0.3245461085,-0.99684,-0.689453,-0.0507616,-0.0301864,177.054,175.583,0.116929439,-3.557495,-3.540044,-0.8297776,-0.4616864,604.541,573.433,0.6750402,-0.0927904,0,206468,6.15103448275862,-0.110526606122139,12861325.16,108.537,0,206468,6.19620689655172,58444117.91,1.282916667
2010,1289067170,1289,67170,150.871,183.715,5.59986666666667,65698,71.808,26.8793333333333,46.046,4.9506973385505,0.139413,0.095727,85.684,27.076,0.077396,-0.1192832,-22.606,-0.41392194725,-0.210448,-1.000864,0.892835,0.86619,209.65,212.511,0.061756175125,-3.8327792,-2.704568,-0.739759,-0.453156,575.59,544.371,1.512772698,-0.2498091,0.193333333333333,183325,2.82392156862745,0.278470440811432,13532838.25,111.448,0.193333333333333,183325,3.36358208955224,52491055.7,1.334916667
