"Year","Month","Day","H2a","H7a","H8a","H10","H21a"
1981,9,4,6.575,0.002106,6.996,-0.002993,16.42
1981,9,8,6.682,0.0009497,6.984,-0.002236,16.18
1981,9,12,6.756,0.002287,6.962,-0.004506,16.29
1981,9,16,6.734,0.002579,6.952,-0.004751,16.28
1981,9,20,6.763,0.002591,6.945,-0.005519,16.59
1981,9,24,6.696,0.00168,6.941,-0.005291,16.11
1981,9,28,6.797,0.0005871,6.935,-0.00171,15.71
1981,10,2,6.695,0.0004593,6.923,-0.004448,15.39
1981,10,6,6.737,-0.0007369,6.926,-0.002322,15.21
1981,10,10,6.823,-0.0002411,6.936,-0.003987,14.99
1981,10,14,6.76,-0.0007486,6.949,-0.004986,14.88
1981,10,18,6.747,-0.001464,6.93,-0.005329,14.52
1981,10,22,6.765,-0.002194,6.922,-0.004367,14.02
1981,10,26,6.785,-0.001311,6.91,-0.002839,13.77
1981,10,30,6.88,-5.074e-05,6.91,-0.002053,12.7
1981,11,3,6.902,-0.0005132,6.905,-0.004101,13.41
1981,11,7,6.789,-0.002284,6.918,-0.003249,13.17
1981,11,11,6.881,-0.001674,6.917,-0.003511,13.01
1981,11,15,7.187,-0.0002187,6.918,-0.004104,12.82
1981,11,19,7.163,0.0002062,6.929,-0.008005,12.56
1981,11,23,7.008,-0.0007832,6.917,-0.008607,12.42
1981,11,27,6.489,-0.0002058,6.898,-0.004853,12.17
1981,12,1,6.312,-0.001044,6.894,-0.008904,11.92
1981,12,5,6.482,-0.00024,6.898,-0.01007,11.7
1981,12,9,6.593,0.0001404,6.901,-0.0067,11.63
1981,12,13,6.478,0.0004819,6.922,-0.007248,11.49
1981,12,17,6.518,0.0002055,6.924,-0.006355,10.94
1981,12,21,6.58,0.000229,6.916,-0.005436,11.14
1981,12,25,6.26,0.0005635,6.886,-0.00788,10.95
1981,12,29,6.231,0.00011,6.9,-0.007658,10.8
1982,1,2,6.124,0.0005161,6.894,-0.007349,10.76
1982,1,6,5.993,-0.0007462,6.887,-0.008696,10.5
1982,1,10,6.129,-0.0007995,6.879,-0.00806,10.01
1982,1,14,6.121,-0.002336,6.863,-0.006249,9.479
1982,1,18,6.329,-0.0009081,6.853,-0.005905,10
1982,1,22,6.275,-0.0002347,6.844,-0.005301,9.798
1982,1,26,6.39,-0.0005698,6.843,-0.006968,9.857
1982,1,30,6.343,-0.0002182,6.832,-0.005576,9.622
1982,2,3,6.13,-0.001271,6.825,-0.006774,9.799
1982,2,7,6.111,-0.002272,6.813,-0.002088,9.669
1982,2,11,6.325,-9.144e-05,6.844,-0.004881,9.56
1982,2,15,6.613,-0.001137,6.876,-0.004297,9.583
1982,2,19,6.74,-0.001192,6.887,-0.006298,10.08
1982,2,23,6.54,-0.001092,6.866,-0.007403,9.895
1982,2,27,6.305,-0.00161,6.858,-0.006159,9.757
1982,3,3,6.575,0.0003284,6.856,-0.005178,9.697
1982,3,7,6.412,-0.0003445,6.818,-0.009011,9.564
1982,3,11,6.518,-0.0001757,6.83,-0.007644,9.886
1982,3,15,6.296,0.001175,6.825,-0.009847,9.921
1982,3,19,6.14,-0.0005729,6.817,-0.007513,9.97
1982,3,23,6.19,-0.0002465,6.816,-0.007686,10.08
1982,3,27,6.31,-0.00155,6.83,-0.006214,10.14
1982,3,31,6.353,-0.0002929,6.821,-0.003822,9.843
1982,4,4,6.426,5.959e-05,6.817,-0.004495,9.79
1982,4,8,6.306,-0.0001146,6.809,-0.006269,10.11
1982,4,12,6.322,-0.001782,6.813,-0.003639,10.15
1982,4,16,6.461,0.000895,6.812,-0.005576,9.921
1982,4,20,5.962,-0.001196,6.795,-0.007698,10.23
1982,4,24,5.874,-0.003258,6.792,-0.0005381,10.38
1982,4,28,5.867,-0.001132,6.796,-0.004302,10.36
1982,5,2,5.831,-0.001381,6.791,-0.005779,10.57
1982,5,6,5.897,-0.002703,6.81,-0.005231,10.62
1982,5,10,5.861,-0.001461,6.811,-0.004702,10.48
1982,5,14,5.768,-0.002591,6.79,-0.003849,10.88
1982,5,18,5.53,-0.00225,6.746,-0.004566,11.36
1982,5,22,5.524,-0.003044,6.74,-0.003173,11.2
1982,5,26,5.594,-0.003825,6.728,0.0004919,10.83
1982,5,30,5.652,-0.002737,6.735,0.001698,11.16
1982,6,3,5.84,-0.001302,6.746,0.0003598,12.01
1982,6,7,5.939,-0.0008333,6.732,-0.001821,12.26
1982,6,11,6.053,-0.003523,6.713,0.001661,12.19
1982,6,15,6.125,-0.002996,6.698,0.000508,12
1982,6,19,6.097,-0.0033,6.7,0.001543,11.95
1982,6,23,6.1,-0.001254,6.708,0.001293,12.31
1982,6,27,6.125,-0.001201,6.726,0.00301,12.69
1982,7,1,6.26,-0.001788,6.731,0.002343,13.89
1982,7,5,6.365,-0.001951,6.731,0.001957,14.63
1982,7,9,6.461,-0.001741,6.725,0.002031,14.83
1982,7,13,6.502,-0.001028,6.717,0.001092,15.15
1982,7,17,6.377,-0.002409,6.695,0.00325,14.83
1982,7,21,6.317,-0.002551,6.705,0.003665,14.46
1982,7,25,6.226,-0.002062,6.709,0.001136,14.32
1982,7,29,6.35,-0.001082,6.72,0.00202,15.19
1982,8,2,6.455,-0.001126,6.74,9.391e-05,15.76
1982,8,6,6.437,-0.001368,6.75,0.001768,16.26
1982,8,10,6.423,-0.0007705,6.761,0.0004403,16.45
1982,8,14,6.546,0.00097,6.765,0.001275,16.65
1982,8,18,6.594,0.001671,6.766,0.001518,16.77
1982,8,22,6.553,0.001991,6.749,0.001061,15.8
1982,8,26,6.607,0.001897,6.75,0.002463,16.16
1982,8,30,6.766,0.003597,6.757,0.0009546,16.65
1982,9,3,6.827,0.003327,6.776,-0.001216,16.79
1982,9,7,6.645,0.002397,6.787,-0.001197,16.93
1982,9,11,6.637,0.001532,6.787,0.001818,16.77
1982,9,15,6.731,0.001701,6.801,0.003997,16.34
1982,9,19,6.813,0.001498,6.808,0.002809,16.28
1982,9,23,6.868,0.00281,6.814,-0.002215,15.81
1982,9,27,6.965,0.002299,6.802,0.0003378,15.58
1982,10,1,6.986,0.002371,6.797,0.0008242,15.14
1982,10,5,7.129,0.002627,6.809,0.003231,15.11
1982,10,9,7.204,0.003408,6.82,0.000983,14.75
1982,10,13,7.247,0.00125,6.826,0.003608,14.8
1982,10,17,7.259,0.003246,6.831,0.002362,14.6
1982,10,21,7.323,0.002211,6.844,0.002864,14.17
1982,10,25,7.795,0.003964,6.862,0.003361,14.19
1982,10,29,7.79,0.004454,6.875,0.0009568,13.77
1982,11,2,7.532,0.003094,6.886,-0.001168,13.69
1982,11,6,7.661,0.004667,6.9,-0.0006253,13.62
1982,11,10,7.284,0.004889,6.892,0.0005705,13.09
1982,11,14,7.464,0.004306,6.9,-0.0005638,12.93
1982,11,18,7.628,0.003562,6.899,0.001321,12.64
1982,11,22,7.774,0.003393,6.89,0.001758,12.31
1982,11,26,7.823,0.00317,6.879,0.0002004,12.29
1982,11,30,7.839,0.003553,6.876,0.0003567,12.09
1982,12,4,7.443,0.002938,6.852,-0.002203,11.61
1982,12,8,7.505,0.001002,6.866,-0.0007333,11.58
1982,12,12,7.564,0.001827,6.893,-0.0001409,11.48
1982,12,16,7.876,0.003402,6.921,0.0005188,11.55
1982,12,20,7.868,0.004287,6.92,-0.001086,11.12
1982,12,24,7.642,0.003387,6.924,-0.002889,10.84
1982,12,28,7.175,0.0033,6.913,-0.00485,10.31
1983,1,1,7.184,0.002665,6.923,-0.003485,10.13
1983,1,5,7.323,0.003968,6.938,-0.004145,10.65
1983,1,9,7.28,0.004035,6.961,-0.006775,10.9
1983,1,13,7.13,0.002213,6.96,-0.004521,10.67
1983,1,17,7.288,0.002473,6.974,-0.003347,10.78
1983,1,21,7.492,0.003195,6.962,-0.005376,10.74
1983,1,25,7.771,0.0008298,6.974,-0.004236,10.61
1983,1,29,7.955,0.0002167,6.986,-0.004082,10.71
1983,2,2,7.655,0.0009022,6.963,-0.006475,10.67
1983,2,6,7.63,0.0002406,7,-0.005294,10.61
1983,2,10,7.668,2.33e-05,7.025,-0.006923,10.55
1983,2,14,7.907,-0.000308,7.042,-0.00689,10.71
1983,2,18,7.836,-0.0009535,7.044,-0.008197,10.44
1983,2,22,7.651,-0.0003929,7.043,-0.008946,10.36
1983,2,26,7.399,-0.0003491,7.057,-0.009798,10.35
1983,3,2,7.503,-0.002099,7.103,-0.01073,10.55
1983,3,6,7.645,-0.0002193,7.168,-0.0129,10.89
1983,3,10,7.473,-0.001651,7.174,-0.01181,10.73
1983,3,14,7.42,0.0008597,7.182,-0.01112,10.82
1983,3,18,7.191,0.001241,7.174,-0.01454,11.02
1983,3,22,7.06,0.001969,7.159,-0.01335,11.06
1983,3,26,6.869,0.002195,7.132,-0.0147,10.93
1983,3,30,6.924,0.001136,7.111,-0.01433,10.81
1983,4,3,6.653,0.002491,7.084,-0.01503,10.85
1983,4,7,5.994,0.001882,7.061,-0.01531,10.9
1983,4,11,5.998,4.668e-05,7.045,-0.01025,10.78
1983,4,15,5.803,0.001152,7.032,-0.01292,11.13
1983,4,19,5.943,-0.000114,7.044,-0.009099,11.54
1983,4,23,6.147,0.0001747,7.038,-0.009258,11.15
1983,4,27,6.324,-0.0008021,7.034,-0.01044,11.42
1983,5,1,6.597,-0.0007923,7.048,-0.009718,11.95
1983,5,5,6.751,-0.0008223,7.113,-0.009199,12.12
1983,5,9,6.696,-7.864e-05,7.122,-0.007224,11.82
1983,5,13,6.187,-0.0007378,7.112,-0.009482,12.07
1983,5,17,6.03,-0.001899,7.1,-0.002953,12.11
1983,5,21,5.918,-0.003193,7.105,-0.002172,12.4
1983,5,25,6.086,-0.003333,7.094,-0.0002142,12.87
1983,5,29,6.209,-0.003591,7.08,-0.003179,13.16
1983,6,2,6.249,-0.003528,7.07,-0.003253,13.32
1983,6,6,6.268,-0.005295,7.059,-0.001944,13.22
1983,6,10,6.462,-0.004608,7.057,0.0005022,13.73
1983,6,14,6.613,-0.002918,7.053,-0.002226,14.51
1983,6,18,6.681,-0.003454,7.057,0.0001025,14.52
1983,6,22,6.708,-0.003024,7.077,0.002914,14.81
1983,6,26,6.685,-0.002569,7.099,0.005297,15.04
1983,6,30,6.778,-0.001855,7.106,0.003717,15.38
1983,7,4,6.807,-0.001989,7.114,0.003259,15.48
1983,7,8,6.821,-0.0023,7.117,0.003795,15.7
1983,7,12,6.592,-0.002309,7.128,0.00361,15.38
1983,7,16,6.677,-0.00179,7.154,0.00503,15.81
1983,7,20,6.791,-0.001905,7.18,0.00418,16.17
1983,7,24,6.759,-0.001951,7.168,0.00333,16.57
1983,7,28,6.705,-0.001797,7.165,0.002285,17.24
1983,8,1,6.618,-0.001641,7.162,0.00212,17.2
1983,8,5,6.669,-0.001545,7.163,0.00202,17.32
1983,8,9,6.699,0.0001498,7.157,0.001092,17.74
1983,8,13,6.623,-0.0001072,7.143,0.0006986,17.35
1983,8,17,6.629,0.0004023,7.148,-0.001585,16.75
1983,8,21,6.849,0.0004357,7.139,-0.001056,16.83
1983,8,25,7.055,0.001086,7.137,-0.002343,17.26
1983,8,29,7.131,0.000738,7.139,-0.00173,17.44
1983,9,2,7.196,0.001183,7.146,-0.001795,17.42
1983,9,6,7.126,0.001475,7.156,-0.003532,17.08
1983,9,10,7.188,0.00155,7.164,-0.002201,16.69
1983,9,14,7.131,0.001384,7.164,-0.005444,16.62
1983,9,18,7.095,0.001452,7.186,-0.004068,16.2
1983,9,22,7.114,0.000127,7.195,-0.003485,15.81
1983,9,26,7.244,0.00122,7.179,-0.004845,15.49
1983,9,30,7.154,-0.0002174,7.188,-0.005161,14.73
1983,10,4,7.258,-0.0005668,7.194,-0.003776,14.91
1983,10,8,7.275,-0.000267,7.19,-0.006407,14.72
1983,10,12,7.4,0.0003167,7.199,-0.005905,14.73
1983,10,16,7.219,0.0009458,7.185,-0.006445,14.59
1983,10,20,7.146,0.000298,7.172,-0.003228,14.48
1983,10,24,7.077,0.0006284,7.168,-0.003807,14.4
1983,10,28,7.082,-0.0006019,7.162,-0.004001,14.52
1983,11,1,7.267,-0.0008388,7.166,-0.003359,14.35
1983,11,5,7.428,0.0005818,7.16,-0.005682,14.05
1983,11,9,7.309,-0.001503,7.154,-0.004775,13.64
1983,11,13,7.877,-0.0009896,7.158,-0.0007582,13.41
1983,11,17,7.759,0.0004727,7.152,-0.002438,13.01
1983,11,21,7.381,0.0002875,7.139,-0.001881,12.6
1983,11,25,6.871,4.703e-05,7.13,-0.002541,12.25
1983,11,29,6.706,0.001332,7.139,-0.003683,12.2
1983,12,3,6.631,0.001639,7.142,-0.003043,12.02
1983,12,7,6.631,0.002323,7.134,-0.002237,11.73
1983,12,11,6.879,0.002291,7.135,-0.0007749,11.67
1983,12,15,6.705,0.002891,7.114,-0.001043,11.48
1983,12,19,6.617,0.002661,7.108,-0.0004864,11.33
1983,12,23,6.364,0.002666,7.1,-7.307e-05,10.7
1983,12,27,6.566,0.0007612,7.114,0.002067,10.45
1983,12,31,6.731,0.002482,7.117,-0.001874,10.74
1984,1,4,6.685,0.0007384,7.112,-0.001922,10.93
1984,1,8,6.611,1.43e-05,7.113,-0.0003989,11.06
1984,1,12,6.5,0.0003467,7.107,-0.0006448,10.89
1984,1,16,6.331,-0.001741,7.113,0.0004925,10.85
1984,1,20,6.392,-0.0005886,7.11,0.001927,10.46
1984,1,24,6.453,0.0004131,7.108,-0.0005678,10.08
1984,1,28,6.299,9.197e-06,7.112,-0.0006408,10.45
1984,2,1,6.186,-0.001113,7.091,0.003152,10.47
1984,2,5,6.179,-0.001705,7.088,0.002528,10.44
1984,2,9,6.41,-0.0008633,7.097,0.004257,10.45
1984,2,13,6.516,-0.001214,7.107,0.004592,10.28
1984,2,17,6.524,-0.0005587,7.118,0.005628,10.19
1984,2,21,6.344,0.0003254,7.101,0.003919,10.18
1984,2,25,6.19,0.0005887,7.092,0.003492,9.643
1984,2,29,6.088,0.0003758,7.087,0.00505,9.978
1984,3,4,6.151,0.0006457,7.08,0.003837,10.09
1984,3,8,6.157,-0.0004412,7.09,0.00383,10.58
1984,3,12,6.298,0.0004802,7.105,0.003858,10.62
1984,3,16,6.496,0.0004122,7.1,0.003896,10.36
1984,3,20,6.454,0.0009248,7.094,0.0007325,10.46
1984,3,24,6.143,0.0004956,7.099,-0.0008947,10.44
1984,3,28,5.857,0.0007371,7.084,0.0006841,10.58
1984,4,1,5.547,0.0001532,7.059,0.001069,10.5
1984,4,5,5.524,-0.0006279,7.06,0.00282,10.53
1984,4,9,5.631,-0.0003834,7.059,0.00271,10.57
1984,4,13,5.75,-0.0002555,7.045,0.001875,10.64
1984,4,17,5.77,-0.0008661,7.034,0.002365,10.71
1984,4,21,5.726,0.0004152,7.016,0.00266,10.67
1984,4,25,5.565,0.002378,7.012,-0.0002056,10.33
1984,4,29,5.341,0.00214,7.009,0.003029,10.3
1984,5,3,5.575,0.002038,7.023,0.006514,10.49
1984,5,7,5.726,0.003526,7.029,0.001516,10.84
1984,5,11,5.797,0.002426,7.022,0.002084,11.38
1984,5,15,5.89,0.003191,7.016,0.001733,11.57
1984,5,19,5.79,0.001354,7.014,-0.0005367,11.87
1984,5,23,5.756,0.001383,7.002,0.0002048,12.34
1984,5,27,5.729,0.002629,6.996,-0.0008055,12.48
1984,5,31,5.693,0.001058,7.007,0.002162,12.57
1984,6,4,5.648,0.001701,6.999,0.00343,12.32
1984,6,8,5.825,0.002217,6.977,0.002465,12.37
1984,6,12,5.736,0.002419,6.957,-0.001132,12.43
1984,6,16,5.837,0.0006137,6.956,0.0015,12.81
1984,6,20,5.898,0.001885,6.953,0.001867,12.89
1984,6,24,5.989,0.001943,6.944,0.001159,13.35
1984,6,28,6.219,0.001979,6.942,0.00188,14.29
1984,7,2,6.264,0.002003,6.937,-0.0006296,13.79
1984,7,6,6.203,0.001005,6.927,0.0005846,14.34
1984,7,10,6.108,0.001302,6.919,-0.002039,14.23
1984,7,14,6.134,-0.001091,6.912,4.38e-05,14.45
1984,7,18,6.281,-0.002833,6.915,0.003607,14.28
1984,7,22,6.457,-0.001651,6.93,0.004211,14.43
1984,7,26,6.553,-0.001437,6.934,0.005765,14.99
1984,7,30,6.544,-0.001288,6.939,0.00338,15.27
1984,8,3,6.599,-0.001519,6.958,0.003778,15.97
1984,8,7,6.582,-0.00111,6.97,0.002632,16.27
1984,8,11,6.666,-0.001288,6.978,0.001134,16.55
1984,8,15,6.722,-0.002026,6.996,0.0002622,16.83
1984,8,19,6.739,-0.001454,7.011,-0.0008892,17.22
1984,8,23,6.825,-0.003103,7.029,-0.001475,17.22
1984,8,27,6.834,-0.002985,7.041,-0.00141,17.18
1984,8,31,6.968,-0.001936,7.048,-0.002515,17.48
1984,9,4,6.919,-0.001466,7.047,-0.003614,17.31
1984,9,8,6.883,-0.0004514,7.051,-0.001688,17.16
1984,9,12,6.839,-0.0005037,7.04,-0.001728,17.36
1984,9,16,7.002,0.0001865,7.049,-0.002796,17.11
1984,9,20,7.001,0.001161,7.046,-0.005597,16.5
1984,9,24,6.932,0.001778,7.037,-0.005262,16.26
1984,9,28,6.799,0.001169,7.023,-0.003435,16.14
1984,10,2,6.825,0.002474,7.012,-0.005629,15.99
1984,10,6,6.896,0.001344,7.009,-0.005594,15.71
1984,10,10,6.952,0.002495,7.003,-0.003121,15.45
1984,10,14,6.934,0.003106,7.012,-0.006123,15.14
1984,10,18,6.487,0.002823,7.004,-0.005212,14.5
1984,10,22,6.423,0.002089,6.994,-0.003622,13.66
1984,10,26,6.342,0.002472,7.001,-0.006985,13.63
1984,10,30,6.379,0.002656,7,-0.007109,13.44
1984,11,3,6.522,0.001781,6.967,-0.007324,12.99
1984,11,7,6.564,0.001623,6.926,-0.006385,12.84
1984,11,11,6.678,0.001886,6.904,-0.005369,12.59
1984,11,15,6.812,0.0009949,6.909,-0.007473,12.77
1984,11,19,6.733,0.002678,6.895,-0.009113,12.59
1984,11,23,6.522,0.0009314,6.882,-0.006687,12.23
1984,11,27,6.643,0.001125,6.888,-0.001055,12.08
1984,12,1,6.75,0.002812,6.884,-0.004717,11.79
1984,12,5,6.723,0.002074,6.88,-0.003427,11.67
1984,12,9,6.58,0.001632,6.868,-0.00188,11.44
1984,12,13,6.425,0.002817,6.851,-0.005113,11.22
1984,12,17,6.12,0.002721,6.838,-0.002879,11.01
1984,12,21,5.999,-0.001797,6.839,0.001474,10.39
1984,12,25,6.355,6.068e-05,6.853,-0.002039,10.31
1984,12,29,6.447,-0.0001817,6.863,7.745e-06,10.56
