year,month,MLD_90_180,MLD_0_180,MLD_0_90,MLD_30_130,MLD_180_550,T_90_180,T_0_180,T_0_90,T_30_130,T_180_550,XV_90_180,XV_0_180,XV_0_90,XV_30_130,XV_180_550,YV_90_180,YV_0_180,YV_0_90,YV_30_130,YV_180_550
1994,9,5.8696647,5.698055,5.507791,5.6331496,7.4843063,9.1705065,9.2576475,9.4203005,9.263996,9.258199,-0.0022134567,-0.0019867902,-0.0014961364,-0.0031988425,-0.0032966312,-0.04231075,-0.03339047,-0.014081117,-0.026682276,-0.014167942
1994,10,7.4794226,7.3145995,7.131861,7.307893,9.066792,9.215756,9.281388,9.403894,9.329965,9.021641,0.0032270139,0.0030645614,0.0027129075,0.0034371794,0.00021613082,-0.022178568,-0.014372692,0.002524377,-0.012835622,-0.005829128
1994,11,14.270012,12.619546,10.7896805,11.6269655,19.830267,9.605962,9.771794,10.081324,9.911479,8.950115,0.0008546304,0.0006404598,0.00017685434,-9.052745e-05,0.003786669,0.031320337,0.038666002,0.05456688,0.041470166,0.013721007
1994,12,16.63871,13.929483,10.925777,12.559134,26.15679,9.248408,9.27169,9.315145,9.330657,8.769122,-0.0013036693,-0.0006724123,0.0006940435,0.0011517062,-0.0018462983,0.11774301,0.11084245,0.09590497,0.10395342,0.10639634
1995,1,15.678749,13.332665,10.731573,11.960259,26.18993,9.578668,9.493564,9.334718,9.490223,9.216022,0.00048706532,0.0016108509,0.004043464,0.0040337504,-0.003952857,0.13586165,0.12083112,0.0882951,0.10667084,0.15167087
1995,2,10.016643,9.247605,8.394976,8.769669,14.244417,9.954866,9.904344,9.810057,9.915806,9.447936,-0.006255119,-0.004477827,-0.0006305956,-0.004346116,-0.005399985,0.03013488,0.02875048,0.02575372,0.023496874,0.039659344
1995,3,12.015649,10.605227,9.041498,9.7746,18.635899,10.057746,10.043454,10.016775,10.082223,9.438175,-0.0026582596,-0.0017186712,0.00031521718,-3.311752e-05,0.000117494164,0.0628483,0.057819176,0.04693287,0.050134078,0.06173425
1995,4,7.8796854,7.4160647,6.9020505,7.3371663,8.6782055,9.856662,9.973003,10.190153,10.070718,9.180363,0.0006703981,0.0006317845,0.0005481986,3.119956e-05,0.0006172038,-0.074114084,-0.06397335,-0.0420221,-0.058964264,-0.079510674
1995,5,6.5475883,6.335646,6.1006675,6.328023,7.2275963,9.34502,9.486443,9.7504,9.575993,8.824436,-0.004981812,-0.0039338656,-0.0016654205,-0.0041523348,-0.0048472947,-0.1205699,-0.108861536,-0.083516896,-0.1017424,-0.09495602
1995,6,6.278259,6.0453615,5.787149,5.987768,7.3833036,9.07464,9.25451,9.590228,9.351515,8.7412615,-0.008220981,-0.005833151,-0.00066432514,-0.0068765315,-0.002920968,-0.10432339,-0.09413357,-0.07207599,-0.09027044,-0.08179555
1995,7,5.537554,5.4248796,5.2999578,5.4016995,5.978823,9.03627,9.1656,9.406987,9.225673,8.904399,-0.0064917663,-0.0052437643,-0.002542266,-0.0043618837,-1.4426176e-05,-0.06283497,-0.05755001,-0.046109863,-0.056389887,-0.055544686
1995,8,6.2002463,5.97496,5.725186,5.9416323,6.9783177,8.619104,8.719123,8.905804,8.770516,8.619552,-0.014275344,-0.010805696,-0.0032951008,-0.007762622,0.0041188095,-0.065560386,-0.058598813,-0.043529343,-0.058518894,-0.06190019
