date,cst_90_180,cst_0_180,cst_0_90,cst_30_130,cst_180_549
2021-07-01,-0.0196005454230999,-0.015298171290594,-0.011187990772702,-0.0167803411665191,-0.0401555155347483
2021-08-01,-0.0202093996779628,-0.0189306711878833,-0.017876785310145,-0.0197450895776314,-0.0295791537653588
2021-09-01,-0.0146371704986965,-0.0150451447274711,-0.0155696601799962,-0.0163721771714666,-0.0201953076874157
2021-10-01,-0.0239613365472796,-0.0219769773828568,-0.02003094010372,-0.0207600896388595,-0.0251802320132849
2021-11-01,-0.0125393244383411,-0.0129574603352096,-0.0132896671930654,-0.011259280194945,-0.0139856951577244
2021-12-01,-0.0172338966863955,-0.0159076116146749,-0.0146580888568389,-0.0153618530265266,-0.0173981142030995
2022-01-01,-0.0145925882552723,-0.0112394144487325,-0.00795857884004903,-0.0087314037300491,-0.0194270244616973
2022-02-01,-0.00832144455506062,-0.00681008923621605,-0.00537312600276182,-0.00600224538028782,-0.0130697995444765
2022-03-01,0.000503910272273906,0.0011352961281265,0.00171117962493356,0.00106676136711458,-0.00313997367964288
2022-04-01,0.00876995432700522,0.00866251781621508,0.00833348323924971,0.00891017597138818,0.00483109524694972
2022-05-01,-0.0101420124893897,-0.00789902987857103,-0.005806416026609,-0.00572022238277389,-0.02012352078392
2022-06-01,-0.0219222673859054,-0.0160792233424606,-0.0103743012320404,-0.0141985285509515,-0.0395838975680379
2022-07-01,-0.0207318456897747,-0.0131701583145001,-0.00583059454410966,-0.0126568898250001,-0.0350133588317535
2022-08-01,-0.01519076206542,-0.0091161196758709,-0.00329535334401844,-0.00760347485335226,-0.0276245261622746
2022-09-01,-0.0206775476869644,-0.0183741987219871,-0.0161357946721567,-0.0167617462436061,-0.0217161282124852
2022-10-01,-0.0186060926609698,-0.0158995183463567,-0.0132856832327954,-0.0163728296249022,-0.0226050243266306
2022-11-01,-0.00745825790378546,-0.00627259290156808,-0.00518484953551941,-0.00494945739091781,-0.013114813835417
2022-12-01,-0.020001509989538,-0.018445557240946,-0.0168865651161404,-0.0167557110493273,-0.0174581030061472
2023-01-01,-0.0240416810539761,-0.0205766697666086,-0.0173580462074034,-0.0177033452933355,-0.0218394183621678
2023-02-01,-0.000124788937930814,-0.00183582877008679,-0.00367197496747343,-0.0017348193139921,-0.00464709025726878
2023-03-01,0.00806504497580023,0.00488471792303419,0.00163115697468277,0.00317701326214267,0.0105908371310931
2023-04-01,0.00841302075523183,0.00920755638814683,0.00989196728349014,0.0115898566022874,0.000827319105268278
2023-05-01,-0.0121912108467197,-0.0066475006416192,-0.00111626445427084,-0.0051984227476975,-0.0274100729979757
2023-06-01,-0.00517925771984082,-0.00107017114774466,0.00279674010953736,-0.00172698987276557,-0.0165950265810593
2023-07-01,-0.0252170123153157,-0.019846484767108,-0.0147522614349452,-0.0188220310796954,-0.0412484734093365
2023-08-01,-0.0326242108027528,-0.0269516166828223,-0.0216777581636021,-0.0258411795103983,-0.0433377808667667
2023-09-01,-0.0234745149865501,-0.0236778724283873,-0.0240649059440017,-0.0246175030920354,-0.0246191415823589
2023-10-01,-0.0225825944936862,-0.0192513712499223,-0.0160639460093564,-0.0190091221023377,-0.0269733617721583
2023-11-01,-0.0353055536750343,-0.0332750766367563,-0.031381929802641,-0.0314663611760613,-0.0350066883672694
2023-12-01,-0.0305923078752521,-0.0287255577798545,-0.0270466941391834,-0.0260932983921165,-0.0339319721710663
2024-01-01,-0.00575014471639344,-0.00437828596295228,-0.00316697365876632,-0.00149014927566306,-0.00674220601030419
2024-02-01,0.00162818211726516,-0.000342672424536893,-0.00233714221011417,-4.95864611013505e-05,0.00447134393790151
2024-03-01,0.0187215103699892,0.015972805473936,0.0132128042354425,0.0158184073180486,0.0245515747686388
2024-04-01,0.00337729443114467,0.00436492346036732,0.00511272611683845,0.00560549932035738,0.00416717983288762
2024-05-01,-8.11024737407887e-05,0.00150114629554915,0.00293404936091188,0.000448670479175816,-0.0055873534856729
2024-06-01,-0.0118576364411299,-0.00941853239545467,-0.00720389312476544,-0.008877988268568,-0.0274294037317868
2024-07-01,-0.023975117766267,-0.0184363963499986,-0.0131655462239639,-0.0181083013923298,-0.036880272095737
2024-08-01,-0.0198011310654614,-0.0125365415037835,-0.00553681181868253,-0.0107089357220636,-0.0312944160612748
2024-09-01,-0.0248132225989851,-0.0188517704316407,-0.013065535083393,-0.0190340240751276,-0.0232308228007835
2024-10-01,-0.0163235782661834,-0.0132805367185846,-0.0103227158154409,-0.0129601719302888,-0.0275186608994076
2024-11-01,-0.00874342548045449,-0.00748582548162694,-0.00627803449581234,-0.00701034030932306,-0.000539899227428805
2024-12-01,-0.00520557984810673,-0.00372837929728035,-0.0023596721923307,-0.00223052081164672,-0.00335320165658758
2025-01-01,-0.0142729328808598,-0.00990970768377076,-0.00561896382700866,-0.00740289979304208,-0.00912832644862292
2025-02-01,-0.00517622585166359,-0.00552501598504322,-0.00591618100094441,-0.00410121355359087,-0.00308470411677448
2025-03-01,0.0114883686783628,0.0124082890305197,0.0132398676896904,0.0148908360171834,0.00473144667547269
