date,mld_0_180,mld_0_90,mld_30_130
1993-01-01,19.3108411782947,13.7877241133797,20.4952369848949
1993-02-01,18.8677033903249,13.972086726773,19.4634434411238
1993-03-01,12.2262672923533,10.7849722012454,12.468103253776
1993-04-01,13.4844520283361,12.0966905341351,14.4173655119436
1993-05-01,10.3472955027025,10.0754408901704,10.7049178099464
1993-06-01,10.3208311112989,10.0354876345264,10.6876973335552
1993-07-01,10.2859206375326,10.0292298956906,10.6274256661861
1993-08-01,10.2856391014538,10.0210466987515,10.6412977166124
1993-09-01,10.3073173795184,10.0388571862073,10.6733469365626
1993-10-01,10.2718438335945,9.94643519724769,10.625033933354
1993-11-01,11.976826326571,10.8152981663728,12.4867587698664
1993-12-01,16.5163140605132,14.0130027114687,18.060931308376
1994-01-01,16.0636040458655,12.6651820391417,17.0343995768355
1994-02-01,18.369384530918,13.7679881678207,20.1924436083501
1994-03-01,13.839187487575,11.4280752077558,14.4049285012166
1994-04-01,10.8163346099183,10.0417453733622,11.2416226574713
1994-05-01,10.1786553915246,9.91947878380115,10.5255378475384
1994-06-01,10.2535439884751,9.95461839418682,10.5867662080403
1994-07-01,10.4249994604405,10.1837479084824,10.8034572026292
1994-08-01,10.1679570205317,9.91081422233619,10.5135791833778
1994-09-01,10.1721800617131,9.91466513854284,10.5154925696435
1994-10-01,10.6015225818236,10.0898818259454,10.8823843860888
1994-11-01,15.5160163726754,12.6107878477227,16.3819348602366
1994-12-01,19.76636655373,15.3632302064249,21.3361702486639
1995-01-01,25.6468106308107,18.0737938513797,27.6670870552523
1995-02-01,15.1379134188994,12.5121081199274,15.9078934129129
1995-03-01,16.5163140605132,13.4594335067629,17.7160434339861
1995-04-01,11.3830667364641,10.4975975793243,11.8151601906107
1995-05-01,10.22060426726,9.96761523638426,10.5585437606214
1995-06-01,10.2042751746919,9.94354701009271,10.5441933636288
1995-07-01,10.1854122574149,9.93006880336944,10.5284079269369
1995-08-01,10.2707176892795,9.98783254646916,10.6326874784168
1995-09-01,10.1690831648468,9.91081422233619,10.5140575299442
1995-10-01,10.3903705227529,10.0037175758216,10.6776520556604
1995-11-01,11.3470301183827,10.3743682607115,11.542024301184
1995-12-01,21.5482083962082,16.4044216757975,22.8697493406112
1996-01-01,24.3126111535624,16.5108032360062,25.8465000234521
1996-02-01,21.0054068363571,15.6953717292483,22.9697237729933
1996-03-01,12.6879864615213,10.5370694704424,12.7340639447063
1996-04-01,12.865072655062,11.6653879189905,13.5544283061192
1996-05-01,10.321957255614,10.0518540284047,10.6570831533043
1996-06-01,10.2698730810432,10.0345249054748,10.6207288142562
1996-07-01,10.3104142763848,10.0532981219822,10.6609099258356
1996-08-01,10.272406905752,10.0066057629766,10.615945348592
1996-09-01,10.2237011641264,9.96039476849679,10.570502424782
1996-10-01,10.7383491161015,10.0855495452129,11.0230182766167
1996-11-01,11.2949459438119,10.1996329378348,11.4281778183757
1996-12-01,16.5042080091264,13.5383772889992,17.6567284597499
1997-01-01,20.9558564864951,15.2703268529395,22.1254420832594
1997-02-01,13.814412312644,11.1137441723881,14.201152863921
1997-03-01,12.6063409986806,10.9597075241221,12.8751761818007
1997-04-01,10.3962827804069,9.99023936909832,10.7264434054354
1997-05-01,10.2479132668998,9.94691656177352,10.5805477026768
1997-06-01,10.1873830099662,9.93440108410191,10.530799659769
1997-07-01,10.1862568656512,9.92718061621445,10.5322346994683
1997-08-01,10.1873830099662,9.93199426147276,10.5331913926011
1997-09-01,10.2881729261627,10.0075684920282,10.6436894494445
1997-10-01,13.347907030137,11.7852476859224,14.2241134991093
1997-11-01,17.3924543376174,15.3223142217292,19.3333331750572
1997-12-01,31.7003993963294,23.1194568111411,35.8716873625136
1998-01-01,36.1039052042299,21.2695729383723,38.0739949543181
1998-02-01,44.3405247244613,24.3175731159347,46.2556346263912
1998-03-01,15.3192226536215,12.1982584490855,16.2733501896589
1998-04-01,10.7493290231732,10.3185299757151,11.2100517840875
1998-05-01,10.1780923193671,9.91899741927532,10.5226677681398
1998-06-01,10.2662131120193,10.0162330534932,10.6226422005219
1998-07-01,10.2177889064724,9.96280159112595,10.5604571468871
1998-08-01,10.265368503783,10.0128635018124,10.60685676383
1998-09-01,10.372633749791,10.1178009684436,10.7388804161623
1998-10-01,10.6296761896997,10.0711086094379,10.874730841026
1998-11-01,17.6655443340155,14.1877380343454,18.7856263565046
1998-12-01,21.639144549648,15.8811784362191,23.1773261828202
1999-01-01,15.9692894594806,12.4110215695028,16.6622459481596
1999-02-01,29.3411270563123,19.6671104318806,32.3921944383637
1999-03-01,21.1937544730482,15.1215852144577,22.7989540487808
1999-04-01,11.2560939649429,10.4013246741581,11.7261877292563
1999-05-01,10.2704361532007,10.013826230864,10.6259906264869
1999-06-01,10.2439717617972,9.99264619172748,10.5791126629776
1999-07-01,10.2411564010096,9.99168346267581,10.5891579408724
1999-08-01,10.1668308762167,9.90840739970704,10.5111874505457
1999-09-01,10.5359246754723,10.2679867005029,10.9345241618287
1999-10-01,10.7952194040112,10.3127536014051,11.1301679074951
1999-11-01,14.7353168262712,12.8346223522342,15.2898696490963
1999-12-01,19.1134843870832,14.2098808025336,20.318248755319
2000-01-01,15.6182139692656,12.0798427757311,15.6486295739125
2000-02-01,16.3868074642831,12.8071845742618,17.205169301048
2000-03-01,13.1525209914769,11.1296292017405,13.5171172739383
2000-04-01,10.3104142763848,9.96328295565178,10.6235988936548
2000-05-01,10.3002789775494,9.94354701009271,10.6279040127525
2000-06-01,10.3014051218644,10.0374130926298,10.6470378754094
