date,temp_90_180,temp_0_180,temp_0_90,temp_30_130,temp_180_549
1993-01-01,10.977723040913,10.8986696947358,10.8283835437288,10.9080672842609,11.1381308845719
1993-02-01,11.2167121171657,11.3674883360887,11.5263368078595,11.3749558955308,11.3407508842434
1993-03-01,11.1080408109645,11.3788481220989,11.656851793629,11.3434957559418,11.178974899423
1993-04-01,10.9727424532461,11.2827204575645,11.5997024393825,11.2314682516533,10.8342977421433
1993-05-01,11.4773185513342,11.8628195494503,12.2548890852074,11.7406811026661,11.1813994297363
1993-06-01,12.0902770461486,12.3125376188481,12.5422755130568,12.1245164482723,11.7837190840725
1993-07-01,11.5512329893131,11.490809490403,11.4439237721181,11.1723209506042,11.9994519750785
1993-08-01,11.9505143176641,11.9183980421389,11.9011347562834,11.6150823441811,12.302345674622
1993-09-01,11.6333247892025,11.5489198451896,11.4796142161793,11.271992853297,12.1676198737551
1993-10-01,12.1122335047388,12.2972331459064,12.4941996834943,12.1381576920185,12.4560543740151
1993-11-01,11.6973845531079,11.7375369602382,11.789075239135,11.6390524278334,12.0252123102119
1993-12-01,11.255082834443,11.3759723508674,11.5062401994404,11.3824874364196,11.4413111264454
1994-01-01,11.1644381068632,11.3118988108712,11.4684620956955,11.3314775131083,11.2575620326015
1994-02-01,10.9265085031638,11.0610491006324,11.2038011322231,11.0808693955536,11.0011693675281
1994-03-01,10.9915343856451,11.2345183468022,11.4864068556523,11.189052105782,11.0427710889357
1994-04-01,10.6834831283693,10.88475602289,11.0942486853911,10.7905027781845,10.6501044341876
1994-05-01,10.6849249470622,10.8298630345296,10.9835426533218,10.6449619553129,10.6969584879372
1994-06-01,11.0121567671125,11.1501258635053,11.2995494485098,10.9050429268812,11.0845289576741
1994-07-01,10.9862672864355,10.9472029879689,10.9229293298045,10.6283443619303,11.4726816043319
1994-08-01,11.8989433975918,11.9102285990571,11.935375473297,11.5599041615929,12.2078425115186
1994-09-01,12.5569658996838,12.5495536947266,12.5558570016514,12.2611907758028,12.7219041882057
1994-10-01,11.9990604531056,11.9162993410941,11.8473963063868,11.6951605647667,12.3437577652229
1994-11-01,11.1973313684042,11.2113970998226,11.2350976525143,11.1768053695719,11.4158523603726
1994-12-01,10.6973028245201,10.7217435894884,10.7556535376715,10.7127498022151,10.9831013028934
1995-01-01,11.1595833692881,11.257931274014,11.3640820778708,11.3156783343408,11.1382110815797
1995-02-01,11.5203042129762,11.7352427313766,11.9570079980606,11.7443101227924,11.3859392031296
1995-03-01,11.6420687245881,11.9122151980379,12.1887081473402,11.9078370858737,11.4636190157819
1995-04-01,10.9659872304477,11.2113015258919,11.4639594877165,11.1569049858212,10.6968350074119
1995-05-01,10.7468349234928,10.8413854986917,10.9447303604117,10.6889431797109,10.6407339065499
1995-06-01,10.8531632019667,10.8731596366518,10.9027409289602,10.6301121688083,10.8801642239143
1995-07-01,11.6177154088292,11.6651609670074,11.7224306424013,11.3715898743466,11.6964054493293
1995-08-01,11.4195471576527,11.3594936366961,11.31332506902,11.0063838813929,11.8452475024654
1995-09-01,12.2078294659891,12.2831363836641,12.3707056646759,12.0010918665587,12.5256130554556
1995-10-01,12.3408347391178,12.4561480484637,12.5834146697895,12.2285966489592,12.5237414108274
1995-11-01,11.7032302154531,11.8227342396653,11.9553982522609,11.6665885866767,12.1125932385748
1995-12-01,12.1558551971996,12.3383617941053,12.5281768886802,12.3714063791446,12.0404794684879
1996-01-01,11.7004076839923,11.7817236849788,11.8706361873806,11.8352997989963,11.4656749011938
1996-02-01,11.4009307704212,11.499304579031,11.6045862248836,11.5171250223899,11.2502104768854
1996-03-01,11.1052145585746,11.2126334868334,11.326855882263,11.1649016017244,11.0147336596716
1996-04-01,11.0634742505675,11.2987738202257,11.5405061305314,11.2410013110298,10.8012120391829
1996-05-01,11.1535369421446,11.2549947205724,11.3664142152259,11.0977483571806,11.0422286021836
1996-06-01,10.6772066651185,10.6408856061753,10.6184119963833,10.3676637501647,10.9732363631527
1996-07-01,11.1169702139952,11.0786016889439,11.0547884071734,10.7576853109694,11.5723918562516
1996-08-01,11.2773249777028,11.2316463357211,11.2015327716518,10.940405261093,11.8187318563413
1996-09-01,11.6382761055603,11.7143881525964,11.8053662522551,11.4178900162533,12.1145499802316
1996-10-01,11.5507442246005,11.6528604822911,11.7681201161025,11.4164174309062,11.9828772734628
1996-11-01,11.0715352714274,11.1424860644547,11.2241606756773,11.0423536831516,11.3293702047218
1996-12-01,10.7480640704143,10.869934502003,10.9998891209323,10.869980445382,10.9281508358148
1997-01-01,11.0657106943472,11.2181819811788,11.3777041067465,11.2540488503187,11.0426858830177
1997-02-01,10.6862419905983,10.8506293943984,11.0225737154323,10.8359276267366,10.7687591466922
1997-03-01,9.95859213969251,10.0429631951546,10.1376322770326,9.9651182997507,10.2440195079171
1997-04-01,9.90313433705465,10.059424802708,10.2273741221854,9.92655823236835,10.2256764976684
1997-05-01,11.1114415748116,11.3734793298827,11.6461339155882,11.1767939546872,11.1308765670472
1997-06-01,11.9120901843819,12.0438284755033,12.1866026894842,11.7661099433481,11.8653670424932
1997-07-01,12.1987490759232,12.1309131024708,12.0754372008947,11.8194359793678,12.418926480527
1997-08-01,12.9275052830893,13.1000490404752,13.2851749300011,12.798341915738,13.2988804991822
1997-09-01,14.368254580957,14.7520498464324,15.144281444985,14.5587940204997,14.0858795979865
1997-10-01,14.0495388100551,14.2153725572785,14.3913575371264,14.1012530256518,13.9510011886927
1997-11-01,14.2663740530992,14.4766389582418,14.6958368022348,14.4816143326511,14.1539377297106
